Elapsed Time [s],Pressure [kPa],Diameter [px],Stress [kPa],Strain
9.3,22.13,217.0,19.64,0.43709
9.4,22.47,217.0,19.98,0.43709
9.5,24.06,218.0,21.57,0.44371
9.6,22.89,218.0,20.4,0.44371
9.7,23.3,218.33,20.81,0.44589
9.8,24.89,219.33,22.4,0.45252
9.9,24.48,220.0,21.99,0.45695
10.0,24.48,220.67,21.99,0.46139
10.1,24.89,221.33,22.4,0.46576
10.2,25.23,221.67,22.74,0.46801
10.3,25.23,222.33,22.74,0.47238
10.4,24.89,222.67,22.4,0.47464
10.5,24.89,223.67,22.4,0.48126
10.6,26.06,224.33,23.57,0.48563
10.7,26.82,225.0,24.33,0.49007
10.8,26.06,225.67,23.57,0.4945
10.9,26.82,226.0,24.33,0.49669
11.0,27.65,226.67,25.16,0.50113
11.1,26.06,227.33,23.57,0.5055
11.2,27.65,227.67,25.16,0.50775
11.3,27.99,229.0,25.5,0.51656
11.4,27.65,230.33,25.16,0.52536
11.5,27.99,230.67,25.5,0.52762
11.6,28.41,234.0,25.92,0.54967
11.7,29.99,233.33,27.5,0.54523
11.8,28.82,233.67,26.33,0.54748
11.9,28.82,237.0,26.33,0.56954
12.0,28.82,235.67,26.33,0.56073
12.1,29.58,238.33,27.09,0.57834
12.2,30.41,239.67,27.92,0.58722
12.3,30.75,239.67,28.26,0.58722
12.4,29.99,240.0,27.5,0.5894
12.5,30.75,240.33,28.26,0.59159
12.6,30.41,241.67,27.92,0.60046
12.7,29.99,242.0,27.5,0.60265
12.8,30.75,241.0,28.26,0.59603
12.9,30.75,242.0,28.26,0.60265
13.0,31.58,243.0,29.09,0.60927
13.1,4.76,232.0,2.27,0.53642
13.2,3.17,223.0,0.68,0.47682
13.3,4.34,217.0,1.85,0.43709
13.4,3.59,214.0,1.1,0.41722
13.5,2.76,216.0,0.27,0.43046
13.6,3.59,214.5,1.1,0.42053
13.7,3.93,214.67,1.44,0.42166
13.8,3.17,213.67,0.68,0.41503
13.9,3.17,212.0,0.68,0.40397
14.0,2.76,213.67,0.27,0.41503
14.1,3.17,212.33,0.68,0.40616
14.2,2.34,212.67,-0.15,0.40841
14.3,2.76,212.33,0.27,0.40616
14.4,4.34,214.0,1.85,0.41722
14.5,3.59,212.33,1.1,0.40616
14.6,3.59,217.0,1.1,0.43709
14.7,3.23,213.33,0.74,0.41278
